University	Award	Program Name	Credits
nhcc.edu	Certificate	.NET Programming	12
century.edu	Certificate	Advanced Computer Technology	22
inverhills.edu	Certificate	Advanced Cybersecurity Infrastructure	18
ridgewater.edu	Certificate	Advanced Meat Cutting	18
inverhills.edu	Certificate	Advanced Network Technology	18
nhcc.edu	Certificate	Application Programming	12
century.edu	Certificate	Applied Big Data Analytics	21
hennepintech.edu	Certificate	Basic Web Technologies	30
ridgewater.edu	Certificate	Beginning Meat Cutting	18
inverhills.edu	Certificate	Business Analytics	15
stcloudstate.edu	Certificate	Business Intelligence	9
minneapolis.edu	Certificate	Cisco Network	27
lsc.edu	Certificate	CISCO Network Associate	12
riverland.edu	Certificate	Cisco Network Associate	18
minnesotanorth.edu	Certificate	Cisco Network Technician	17
hennepintech.edu	Certificate	Cisco Networking	20
minnesota.edu	Certificate	Cisco Networking	12
mnwest.edu	Certificate	CISCO Networking	15
northlandcollege.edu	Certificate	Cisco Networking	14
southcentral.edu	Certificate	Cloud Computing & Virtualization Administration	20
lsc.edu	Certificate	Computer and Web Programming	30
southcentral.edu	Certificate	Computer Assistant	23
clcmn.edu	Certificate	Computer Comp TIA	16
metrostate.edu	Certificate	Computer Forensics	24
anokaramsey.edu	Certificate	Computer Programming	30
minneapolis.edu	Certificate	Computer Security Specialist	27
ntcmn.edu	Certificate	Computer Support	18
riverland.edu	Certificate	Computer Support Specialist	18
normandale.edu	Certificate	Computer Technology	17
century.edu	Certificate	Computer Technology Support Specialist	30
normandale.edu	Certificate	Computers/Information Management	15
century.edu	Certificate	Cross-Platform Mobile Development	20
hennepintech.edu	Certificate	Cyber Defense	28
lsc.edu	Certificate	Cyber Defense	30
lsc.edu	Certificate	Cyber Security	18
alextech.edu	Certificate	Cybersecurity	30
hennepintech.edu	Certificate	Cybersecurity	15
metrostate.edu	Certificate	Cybersecurity	24
minnesota.edu	Certificate	Cybersecurity	30
saintpaul.edu	Certificate	CyberSecurity	24
century.edu	Certificate	Cybersecurity Analysis and Techniques	27
century.edu	Certificate	Cybersecurity Analysis and Techniques	23
saintpaul.edu	Certificate	Data Science	19
minneapolis.edu	Certificate	Database Administrator	27
hennepintech.edu	Certificate	Database Specialist	29
minneapolis.edu	Certificate	Database Specialist	28
mnsu.edu	Certificate	Database Technologies	12
dctc.edu	Certificate	Desktop Programming	27
century.edu	Certificate	Digital Forensics Analysis and Techniques	21
century.edu	Certificate	Digital Forensics Analysis and Techniques	18
inverhills.edu	Certificate	Enterprise Networking	18
riverland.edu	Certificate	Fundamentals of Network Security	21
stcloudstate.edu	Certificate	Game Development	15
stcloudstate.edu	Certificate	Information Assurance	9
mnsu.edu	Certificate	Information Security	12
century.edu	Certificate	Information Security/Assurance	16
mnwest.edu	Certificate	Information Technology	15
minneapolis.edu	Certificate	Information Technology Fundamentals	19
mnsu.edu	Certificate	Internet of Things	19
century.edu	Certificate	Internet Programming	15
nhcc.edu	Certificate	Internet Programming	19
century.edu	Certificate	Intrusion Detection and Incident Handling	24
inverhills.edu	Certificate	IT Helpdesk and Cybersecurity Operations	18
hennepintech.edu	Certificate	IT Security	21
hennepintech.edu	Certificate	IT Service Desk Technician	30
anokatech.edu	Certificate	IT Support	15
anokaramsey.edu	Certificate	IT Support Specialist	16
inverhills.edu	Certificate	IT System Administrator	18
minneapolis.edu	Certificate	JAVA	28
saintpaul.edu	Certificate	Java Programming	24
minneapolis.edu	Certificate	Linux Network Administrator	27
hennepintech.edu	Certificate	Linux Networking	16
century.edu	Certificate	Linux System Administrator	25
minneapolis.edu	Certificate	Microsoft Network Administrator	27
lsc.edu	Certificate	Microsoft Server Administrator	12
riverland.edu	Certificate	Microsoft Systems Engineer	24
riverland.edu	Certificate	Mobile Applications and Virtual Reality	20
saintpaul.edu	Certificate	Network Administration	24
southcentral.edu	Certificate	Network Administration	20
lsc.edu	Certificate	Network Administration and Security	30
anokaramsey.edu	Certificate	Network Security	30
anokaramsey.edu	Certificate	Network Support and Administration	30
pine.edu	Certificate	Network Technician	24
inverhills.edu	Certificate	Networking and Cybersecurity Operations	18
century.edu	Certificate	Networking Fundamentals	16
mnsu.edu	Certificate	Networking Technologies	12
nhcc.edu	Certificate	Object-Oriented Programming	12
century.edu	Certificate	Offensive Security	23
minneapolis.edu	Certificate	Open Source Developer	29
hennepintech.edu	Certificate	Oracle Database Specialist	24
lsc.edu	Certificate	PC Support Technician	21
dctc.edu	Certificate	PC Technician	30
century.edu	Certificate	Reverse Engineering Malware Analysis and Techniques	21
southeastmn.edu	Certificate	Software & Web Development	30
hennepintech.edu	Certificate	Software Developer	29
mnsu.edu	Certificate	Software Development	12
century.edu	Certificate	Storage Area Networking	17
minneapolis.edu	Certificate	VB .Net Developer	28
